time,symbol,price
09:24:00,STOCK_5651,1583.125
09:24:00,STOCK_5998,1659.375
09:24:00,STOCK_4198,1773.125
09:25:00,STOCK_5559,2155.625
09:25:00,STOCK_3848,2061.775
09:25:00,STOCK_3940,1956.575
09:25:00,STOCK_3643,1860.775
09:25:00,STOCK_3447,1756.4499999999998
09:25:00,STOCK_5461,1657.875
09:25:00,STOCK_4580,1559.775
09:25:00,STOCK_3140,1459.7
09:25:00,STOCK_3337,1358.875
09:25:00,STOCK_4688,1260.025
09:25:00,STOCK_5047,1160.725
09:25:00,STOCK_4063,1061.45
09:25:00,STOCK_3311,963.625
09:25:00,STOCK_5769,865.225
09:25:00,STOCK_3365,768.025
09:25:00,STOCK_4127,671.85
09:25:00,STOCK_4699,577.1
09:25:00,STOCK_4441,484.375
09:25:00,STOCK_4989,394.9
09:25:00,STOCK_3415,311.625
09:25:00,STOCK_3979,234.975
09:25:00,STOCK_3824,169.325
09:25:00,STOCK_5628,116.025
09:25:00,STOCK_3561,77.275
